Country,Version,Gender,Age,Marital_Status,Cares_for_Dependents,Institution_Type,Subject_Area,Contract_Duration,Employment_Hours_HE,Avg_Work_Hours_HE,Effort_Comparison,Effort [%],Income EURO,Euro Adj.,Salary/hour,Salary effort/hour,Holds_Leadership_Position,Policy_Influence,Has_Other_Job,Avg_Work_Hours_Other,Academic/Non-academic,Job_Description_Category,Education_Level,Career_Length_HE,Effort_Teaching_Desc,Effort_Research_Desc,Effort_External_Projects_Desc,Effort_Org_Admin_Desc,Teaching %,Research %,Activities related to externally funded research projects %,Organisational and administrative activities %,Vulnerability,Academic_Resources,Performance_Pressure,Perceived_Autonomy,Quality_Leadership,Sense_Community,Job_Satisfaction,WM_Amotivation,WM_Extrinsic_Social,WM_Extrinsic_Material,WM_Introjected_Motivation,WM_Identified_Motivation,WM_Intrinsic_Motivation,Burnout_Score,VB_Subjective_Significance,VB_Professional_Ambition,VB_Tendency_Exertion,VB_Striving_Perfection,VB_Emotional_Distancing,VB_Resignation_Tendency,VB_Offensive_Coping,VB_Mental_Stability,VB_Satisfaction_Work,VB_Satisfaction_Life,VB_Social_Support,Current_Position
2,4,2.0,28.0,3.0,1.0,1.0,1.0,2.0,40,50.0,3.0,125.0,1666.38893517747,1846.358940176637,9.613782318331559,7.691025854665247,1.0,1.0,1.0,,2,,,,5.0,29.0,1.0,15,10.0,57.99999999999999,2.0,30.0,4,3,1,2,3,3,2,1,2,1,3,6,6,4,2,2,4,4,3,4,2,4,1,2,4,3.0
2,4,1.0,33.0,2.0,1.0,1.0,3.0,3.0,40,50.0,3.0,125.0,750.0,831.0,4.326923076923077,3.4615384615384617,1.0,1.0,5.0,5.0,2,,,,5.0,30.0,5.0,10,10.0,60.0,10.0,20.0,4,3,5,2,2,2,2,3,3,4,6,6,5,4,2,2,4,4,2,4,2,2,2,2,4,3.0
2,4,1.0,39.0,2.0,2.0,1.0,5.0,2.0,40,44.0,3.0,125.0,1374.770871521413,1523.246125645726,7.931370412623536,10.354928024816378,1.0,2.0,1.0,,2,,,,20.0,20.0,10.0,3,,,,,3,4,5,3,4,3,3,1,1,4,6,6,5,4,3,4,5,4,2,3,3,4,4,3,5,4.0
2,4,2.0,39.0,3.0,1.0,1.0,8.0,2.0,40,40.0,1.0,100.0,1666.38893517747,1846.358940176637,9.613782318331559,9.613782318331559,1.0,2.0,1.0,,2,,,,33.0,10.0,6.0,2.5,,,,,3,4,2,4,5,5,3,1,1,1,5,7,7,5,3,4,5,5,1,4,5,2,4,5,4,4.0
2,4,2.0,44.0,2.0,2.0,1.0,5.0,1.0,40,40.0,1.0,100.0,2374.604232627895,2631.061489751708,13.69963980362247,13.69963980362247,2.0,5.0,1.0,,2,,,,20.0,2.0,5.0,13,50.0,5.0,12.5,32.5,2,3,4,3,4,5,4,2,4,4,4,6,6,3,1,2,2,2,4,3,4,2,4,5,4,4.0
2,4,2.0,42.0,1.0,2.0,1.0,1.0,2.0,40,40.0,1.0,100.0,3124.479253457757,3461.923012831195,18.02584184687167,18.02584184687167,3.0,2.0,1.0,,2,,,,8.0,16.0,12.0,4,20.0,40.0,30.0,10.0,2,4,4,3,4,5,4,1,5,5,5,6,7,4,2,3,2,2,3,3,2,4,4,4,4,4.0
2,4,1.0,33.0,2.0,1.0,1.0,5.0,1.0,40,40.0,1.0,100.0,2499.583402766205,2769.538410264955,14.42067347749734,14.42067347749734,2.0,3.0,1.0,,2,,,,20.0,20.0,10.0,10,,,,,3,2,5,2,1,2,2,2,6,5,6,5,3,5,4,5,5,5,1,4,2,2,4,2,4,4.0
2,4,1.0,35.0,3.0,1.0,1.0,1.0,1.0,40,40.0,1.0,100.0,3749.375104149308,4154.307615397433,21.63101021624601,21.63101021624601,3.0,1.0,1.0,,2,,,,10.0,10.0,12.0,8,25.0,25.0,30.0,20.0,4,4,4,4,4,4,4,1,3,5,4,6,5,4,2,3,2,4,2,2,3,4,3,4,4,4.0
2,4,2.0,47.0,3.0,1.0,1.0,5.0,3.0,40,60.0,3.0,150.0,1708.048658556907,1892.517913681053,9.85412687628985,6.569417917526566,1.0,1.0,1.0,,2,,,,30.0,30.0,0.0,0,50.0,50.0,0.0,0.0,3,2,1,2,1,2,3,3,2,1,5,6,4,4,4,3,5,4,1,3,4,3,2,3,4,4.0
2,4,1.0,25.0,1.0,2.0,1.0,6.0,2.0,40,40.0,1.0,100.0,2291.284785869022,2538.743542742876,13.21895068770589,13.21895068770589,1.0,4.0,1.0,,2,,,,11.0,21.0,3.5,2.5,27.5,52.5,8.75,6.25,1,4,4,4,4,4,4,1,1,4,3,7,7,2,1,5,1,3,4,1,4,4,4,5,5,4.0
2,4,2.0,42.0,1.0,2.0,1.0,5.0,1.0,40,40.0,1.0,100.0,900.0,997.1999999999998,5.192307692307692,5.192307692307692,1.0,2.0,2.0,20.0,2,,,,10.0,20.0,5.0,5,25.0,50.0,12.5,12.5,3,1,2,4,3,3,2,1,3,1,5,7,7,2,5,4,4,3,3,2,4,3,4,4,5,5.0
2,4,1.0,59.0,3.0,1.0,1.0,1.0,1.0,40,80.0,3.0,200.0,1749.708381936344,1938.676887185469,10.09447143424814,5.047235717124069,1.0,3.0,1.0,,2,,,,8.0,70.0,5.0,0,,,,,4,3,4,3,3,5,3,1,2,3,4,7,7,5,3,3,4,3,2,3,3,3,2,2,3,5.0
2,4,1.0,48.0,1.0,2.0,1.0,1.0,1.0,40,55.0,3.0,137.5,3207.798700216631,3554.240959840026,18.50653096278825,13.45929524566418,3.0,1.0,1.0,,2,,,,16.0,37.0,1.0,1,29.09090909090909,50.0,1.818181818181818,1.818181818181818,3,2,3,2,2,2,2,2,2,3,5,6,5,4,3,4,4,3,2,2,3,4,4,2,4,5.0
2,4,1.0,48.0,3.0,1.0,1.0,1.0,1.0,40,40.0,1.0,100.0,2624.562572904516,2908.015330778204,15.14170715137221,15.14170715137221,1.0,1.0,1.0,,2,,,,8.0,32.0,0.0,0,20.0,80.0,0.0,0.0,4,3,5,3,2,3,3,1,3,3,4,5,6,3,2,2,3,3,4,3,3,4,2,3,4,5.0
2,4,2.0,48.0,2.0,2.0,1.0,5.0,1.0,24,24.0,1.0,100.0,624.8958506915515,692.3846025662388,6.008613948957223,6.008613948957223,1.0,1.0,5.0,7.0,2,,,,15.0,0.0,0.0,1,62.5,0.0,0.0,4.166666666666666,2,3,5,5,5,5,2,2,6,1,5,6,5,5,2,2,2,4,5,4,4,4,3,4,4,2.0
2,4,1.0,38.0,1.0,2.0,1.0,5.0,1.0,40,40.0,1.0,100.0,1083.152807865356,1200.133311114814,6.248958506915514,6.248958506915514,1.0,3.0,5.0,20.0,2,,,,15.0,40.0,25.0,4,,,,,1,4,3,4,5,2,3,1,3,3,6,7,7,3,2,4,4,4,2,3,5,3,5,4,4,2.0
2,4,2.0,28.0,2.0,1.0,1.0,5.0,3.0,21,21.0,1.0,100.0,1145.642392934511,1269.371771371438,12.58947684543418,12.58947684543418,1.0,1.0,1.0,,2,,,,37.5,2.0,1.0,1,,,,,3,3,5,2,2,2,2,2,5,4,6,7,5,5,3,4,4,4,2,3,3,3,4,3,5,2.0
2,4,1.0,53.0,3.0,1.0,1.0,5.0,1.0,40,40.0,1.0,100.0,2082.986168971838,2307.948675220796,12.01722789791445,12.01722789791445,1.0,3.0,1.0,,2,,,,24.0,0.0,0.0,6,60.0,0.0,0.0,15.0,4,4,4,4,3,4,3,1,2,3,6,6,6,4,2,3,4,2,3,3,4,4,4,4,3,2.0
2,4,1.0,67.0,1.0,1.0,1.0,1.0,4.0,10,20.0,3.0,200.0,41.659723379436855,46.158973504415826,0.9613782318331558,0.4806891159165776,3.0,3.0,6.0,4.0,2,,,,6.0,6.0,4.0,4,30.0,30.0,20.0,20.0,3,3,4,3,4,4,3,1,4,1,6,6,6,3,4,4,4,4,2,4,4,3,4,3,4,6.0
2,4,2.0,62.0,4.0,1.0,1.0,5.0,1.0,40,60.0,3.0,150.0,4165.972337943675,4615.897350441592,24.0344557958289,16.0229705305526,2.0,4.0,1.0,,2,,,,12.0,30.0,10.0,8,20.0,50.0,16.66666666666666,13.33333333333333,2,4,5,4,3,4,4,1,4,6,5,7,6,5,2,4,5,3,4,3,4,4,5,4,4,6.0
2,4,1.0,55.0,1.0,2.0,1.0,5.0,2.0,40,60.0,3.0,150.0,3749.375104149308,4154.307615397433,21.63101021624601,14.42067347749734,3.0,3.0,7.0,15.0,2,,,,20.0,30.0,10.0,10,,,,,3,4,5,3,2,3,3,2,2,4,4,6,6,5,3,4,4,2,3,2,3,3,4,3,4,6.0
2,4,1.0,44.0,1.0,2.0,1.0,1.0,5.0,40,50.0,3.0,125.0,2416.263956007332,2677.220463256124,13.93998436158076,11.15198748926461,3.0,2.0,1.0,50.0,2,,,,6.0,20.0,12.0,12,12.0,50.0,24.0,24.0,4,3,4,3,2,3,3,2,4,3,4,6,6,4,2,4,4,4,3,3,2,3,3,4,3,4.0
2,4,2.0,44.0,1.0,2.0,1.0,5.0,3.0,24,24.0,1.0,100.0,1249.791701383103,1384.769205132478,12.01722789791445,12.01722789791445,3.0,1.0,2.0,15.0,2,,,,0.0,22.0,4.0,"0,5",,,,,3,3,3,4,2,2,2,1,1,1,4,6,7,4,3,4,4,4,2,4,3,4,3,3,5,7.0
2,4,1.0,36.0,3.0,3.0,1.0,1.0,3.0,40,70.0,3.0,175.0,1874.687552074654,2077.153807698717,10.815505108123,6.180288633213145,1.0,1.0,1.0,,2,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,4,4,4,2,2,3,1,2,3,4,7,6,4,2,3,4,3,3,2,4,4,3,2,4,7.0
2,4,1.0,28.0,3.0,3.0,1.0,1.0,4.0,10,20.0,3.0,200.0,41.659723379436855,46.158973504415826,0.9613782318331558,0.4806891159165776,1.0,1.0,1.0,,2,,,,0.0,20.0,0.0,0,0.0,100.0,0.0,0.0,4,3,3,3,2,2,3,2,6,5,6,6,5,3,1,2,3,4,3,3,4,3,4,3,3,7.0
2,4,2.0,24.0,2.0,1.0,1.0,1.0,2.0,40,40.0,1.0,100.0,999.8333611064825,1107.815364105982,5.768269390998936,5.768269390998936,1.0,1.0,1.0,,2,,,,2.0,30.0,1.0,1,5.0,75.0,2.5,2.5,4,4,3,3,2,2,2,2,4,2,6,7,6,3,2,4,3,4,4,4,4,2,2,4,5,7.0
2,4,1.0,31.0,1.0,2.0,1.0,1.0,3.0,40,40.0,1.0,100.0,999.8333611064825,1107.815364105982,5.768269390998936,5.768269390998936,1.0,1.0,1.0,,2,,,,0.0,45.0,2.0,4,,,,,3,4,3,4,4,5,3,1,1,5,6,7,7,4,5,5,5,5,1,3,4,4,4,4,3,7.0
2,4,1.0,34.0,1.0,1.0,1.0,1.0,2.0,36,36.0,1.0,100.0,1249.791701383103,1384.769205132478,8.0114852652763,8.0114852652763,1.0,3.0,1.0,,2,,,,0.0,26.0,6.0,4,0.0,72.22222222222221,16.66666666666666,11.11111111111111,2,4,4,4,3,4,3,2,3,3,3,5,6,2,1,3,2,4,4,1,4,4,4,5,5,7.0
