Country,Version,Gender,Age,Marital_Status,Cares_for_Dependents,Institution_Type,Subject_Area,Contract_Duration,Employment_Hours_HE,Avg_Work_Hours_HE,Effort_Comparison,Effort [%],Income EURO,Euro Adj.,Salary/hour,Salary effort/hour,Holds_Leadership_Position,Policy_Influence,Has_Other_Job,Avg_Work_Hours_Other,Academic/Non-academic,Job_Description_Category,Education_Level,Career_Length_HE,Effort_Teaching_Desc,Effort_Research_Desc,Effort_External_Projects_Desc,Effort_Org_Admin_Desc,Teaching %,Research %,Activities related to externally funded research projects %,Organisational and administrative activities %,Vulnerability,Academic_Resources,Performance_Pressure,Perceived_Autonomy,Quality_Leadership,Sense_Community,Job_Satisfaction,WM_Amotivation,WM_Extrinsic_Social,WM_Extrinsic_Material,WM_Introjected_Motivation,WM_Identified_Motivation,WM_Intrinsic_Motivation,Burnout_Score,VB_Subjective_Significance,VB_Professional_Ambition,VB_Tendency_Exertion,VB_Striving_Perfection,VB_Emotional_Distancing,VB_Resignation_Tendency,VB_Offensive_Coping,VB_Mental_Stability,VB_Satisfaction_Work,VB_Satisfaction_Life,VB_Social_Support,Current_Position
2,4,2.0,28.0,3.0,1.0,1.0,1.0,2.0,40.0,50.0,3.0,125.0,1666.38893517747,1846.358940176637,9.613782318331559,7.691025854665247,1.0,1.0,1.0,,2,,,,5.0,29.0,1.0,15,10.0,57.99999999999999,2.0,30.0,4.0,3.1666666666666665,1.0,1.8333333333333333,3.0,2.6666666666666665,2.2,1.3333333333333333,2.0,1.3333333333333333,3.25,6.333333333333333,6.333333333333333,4.0,1.75,2.0,3.5,3.75,3.0,3.5,2.0,3.5,1.0,2.25,4.5,3.0
2,4,1.0,33.0,2.0,1.0,1.0,3.0,3.0,40.0,50.0,3.0,125.0,749.9999999999998,831.0,4.326923076923077,3.46153846153846,1.0,1.0,5.0,5.0,2,,,,5.0,30.0,5.0,10,10.0,60.0,10.0,20.0,4.0,3.0,5.0,1.5,2.0,1.666666666666667,2.4,2.6666666666666665,3.0,3.6666666666666665,5.5,6.333333333333333,5.0,4.0,2.25,2.25,4.5,4.25,1.75,3.5,2.5,2.5,2.25,2.0,3.5,3.0
2,4,1.0,39.0,2.0,2.0,1.0,5.0,2.0,40.0,46.0,3.0,115.0,1374.770871521413,1523.246125645726,7.9313704126235365,10.344968146334585,1.0,2.0,1.0,,2,,,,20.0,20.0,10.0,3,,,,,3.0,3.5,5.0,3.1666666666666665,3.75,3.0,2.6,1.0,1.0,3.6666666666666665,6.0,6.333333333333333,5.333333333333333,4.5,2.75,4.0,4.75,3.75,1.5,2.75,3.25,3.5,3.75,3.25,5.0,4.0
2,4,2.0,39.0,3.0,1.0,1.0,8.0,2.0,40.0,40.0,1.0,100.0,1666.38893517747,1846.358940176637,9.613782318331559,9.613782318331559,1.0,2.0,1.0,,2,,,,33.0,10.0,6.0,2.5,,,,,3.0,4.0,2.0,4.5,5.0,5.0,2.8,1.3333333333333333,1.0,1.3333333333333333,5.25,7.0,7.0,5.0,3.25,4.0,5.0,4.75,1.0,4.0,4.75,2.25,4.25,5.0,3.75,4.0
2,4,2.0,44.0,2.0,2.0,1.0,5.0,1.0,40.0,40.0,1.0,100.0,2374.604232627895,2631.061489751708,13.69963980362247,13.69963980362247,2.0,5.0,1.0,,2,,,,20.0,2.0,5.0,13,50.0,5.0,12.5,32.5,2.0,3.1666666666666665,4.0,3.3333333333333335,3.75,4.666666666666667,3.6,1.6666666666666667,4.0,4.333333333333333,4.0,5.666666666666667,5.666666666666667,3.0,1.0,2.0,2.0,2.25,3.5,2.75,3.5,2.5,4.25,4.75,3.75,4.0
2,4,2.0,58.0,2.0,1.0,1.0,7.0,2.0,20.0,20.0,1.0,100.0,749.8750208298616,830.8615230794867,8.652404086498404,8.652404086498404,1.0,3.0,3.0,10.0,2,,,,3.0,1.0,,0.5,15.0,5.0,,2.5,2.8,3.0,3.0,4.166666666666667,5.0,4.333333333333333,3.6,1.0,2.3333333333333335,1.6666666666666667,2.75,6.666666666666667,5.333333333333333,2.25,2.75,2.25,4.0,3.75,3.25,2.25,2.0,3.5,3.0,3.5,3.25,4.0
2,4,2.0,42.0,1.0,2.0,1.0,1.0,2.0,40.0,40.0,1.0,100.0,3124.479253457757,3461.923012831195,18.02584184687167,18.02584184687167,3.0,2.0,1.0,,2,,,,8.0,16.0,12.0,4,20.0,40.0,30.0,10.0,2.0,4.166666666666667,4.0,2.6666666666666665,3.5,4.666666666666667,4.2,1.3333333333333333,4.666666666666667,5.0,5.0,6.333333333333333,7.0,3.75,1.5,2.75,2.5,1.75,3.25,2.75,2.5,4.0,4.0,4.0,4.5,4.0
2,4,1.0,33.0,2.0,1.0,1.0,5.0,1.0,40.0,40.0,1.0,100.0,2499.583402766205,2769.538410264955,14.42067347749734,14.42067347749734,2.0,3.0,1.0,,2,,,,20.0,20.0,10.0,10,,,,,3.0,2.1666666666666665,5.0,1.5,1.25,1.666666666666667,2.2,2.0,6.0,4.666666666666667,6.0,5.0,3.3333333333333335,5.0,3.5,4.75,5.0,4.75,1.0,3.75,2.25,2.0,3.75,2.5,4.5,4.0
2,4,2.0,43.0,1.0,1.0,1.0,5.0,1.0,50.0,60.0,3.0,120.0,3083.111148141976,3024.0871521413096,17.787179700819095,16.492131653271464,1.0,2.0,1.0,,2,,,,27.5,15.0,5.0,5,45.83333333333333,25.0,8.333333333333332,8.333333333333332,3.0,4.0,4.0,4.0,3.5,3.3333333333333335,3.6,1.3333333333333333,3.0,6.0,5.0,6.0,5.666666666666667,3.25,3.0,4.75,3.75,3.0,3.25,2.75,3.5,2.5,2.5,3.0,4.5,4.0
2,4,1.0,35.0,3.0,1.0,1.0,1.0,1.0,40.0,40.0,1.0,100.0,3749.375104149308,4154.307615397433,21.63101021624601,21.63101021624601,3.0,1.0,1.0,,2,,,,10.0,10.0,12.0,8,25.0,25.0,30.0,20.0,4.0,3.5,4.0,3.8333333333333335,4.5,4.0,4.0,1.3333333333333333,3.3333333333333335,5.0,4.5,5.666666666666667,5.0,3.5,1.5,3.0,2.5,3.5,1.5,2.25,3.25,4.0,3.25,3.5,3.75,4.0
